Exchange,Token,LotSize,Symbol,TradingSymbol,Expiry,Instrument,OptionType,StrikePrice,TickSize,
BFO,875998,2425,ZOMAOPT,ETERNAL26MAY280PE,27-MAY-2026,OPTSTK,PE,280,0.05,
BFO,1131208,2425,ZOMAOPT,ETERNAL26MAY277.5PE,27-MAY-2026,OPTSTK,PE,277.5,0.05,
BFO,870374,2425,ZOMAOPT,ETERNAL26MAY275PE,27-MAY-2026,OPTSTK,PE,275,0.05,
BFO,1130517,2425,ZOMAOPT,ETERNAL26MAY272.5PE,27-MAY-2026,OPTSTK,PE,272.5,0.05,
BFO,870168,2425,ZOMAOPT,ETERNAL26MAY270PE,27-MAY-2026,OPTSTK,PE,270,0.05,
BFO,1128006,2425,ZOMAOPT,ETERNAL26MAY267.5PE,27-MAY-2026,OPTSTK,PE,267.5,0.05,
BFO,872186,2425,ZOMAOPT,ETERNAL26MAY265PE,27-MAY-2026,OPTSTK,PE,265,0.05,
BFO,1126978,2425,ZOMAOPT,ETERNAL26MAY262.5PE,27-MAY-2026,OPTSTK,PE,262.5,0.05,
BFO,871965,2425,ZOMAOPT,ETERNAL26MAY260PE,27-MAY-2026,OPTSTK,PE,260,0.05,
BFO,1124540,2425,ZOMAOPT,ETERNAL26MAY257.5PE,27-MAY-2026,OPTSTK,PE,257.5,0.05,
BFO,874012,2425,ZOMAOPT,ETERNAL26MAY255PE,27-MAY-2026,OPTSTK,PE,255,0.05,
BFO,1121903,2425,ZOMAOPT,ETERNAL26MAY252.5PE,27-MAY-2026,OPTSTK,PE,252.5,0.05,
BFO,873793,2425,ZOMAOPT,ETERNAL26MAY250PE,27-MAY-2026,OPTSTK,PE,250,0.05,
BFO,1119957,2425,ZOMAOPT,ETERNAL26MAY247.5PE,27-MAY-2026,OPTSTK,PE,247.5,0.05,
BFO,875731,2425,ZOMAOPT,ETERNAL26MAY245PE,27-MAY-2026,OPTSTK,PE,245,0.05,
BFO,1119844,2425,ZOMAOPT,ETERNAL26MAY242.5PE,27-MAY-2026,OPTSTK,PE,242.5,0.05,
BFO,875510,2425,ZOMAOPT,ETERNAL26MAY240PE,27-MAY-2026,OPTSTK,PE,240,0.05,
BFO,1120897,2425,ZOMAOPT,ETERNAL26MAY237.5PE,27-MAY-2026,OPTSTK,PE,237.5,0.05,
BFO,869879,2425,ZOMAOPT,ETERNAL26MAY235PE,27-MAY-2026,OPTSTK,PE,235,0.05,
BFO,1120795,2425,ZOMAOPT,ETERNAL26MAY232.5PE,27-MAY-2026,OPTSTK,PE,232.5,0.05,
BFO,869666,2425,ZOMAOPT,ETERNAL26MAY230PE,27-MAY-2026,OPTSTK,PE,230,0.05,
BFO,1117384,2425,ZOMAOPT,ETERNAL26MAY227.5PE,27-MAY-2026,OPTSTK,PE,227.5,0.05,
BFO,871677,2425,ZOMAOPT,ETERNAL26MAY225PE,27-MAY-2026,OPTSTK,PE,225,0.05,
BFO,1117194,2425,ZOMAOPT,ETERNAL26MAY222.5PE,27-MAY-2026,OPTSTK,PE,222.5,0.05,
BFO,871465,2425,ZOMAOPT,ETERNAL26MAY220PE,27-MAY-2026,OPTSTK,PE,220,0.05,
BFO,1118761,2425,ZOMAOPT,ETERNAL26MAY217.5PE,27-MAY-2026,OPTSTK,PE,217.5,0.05,
BFO,873494,2425,ZOMAOPT,ETERNAL26MAY215PE,27-MAY-2026,OPTSTK,PE,215,0.05,
BFO,1118676,2425,ZOMAOPT,ETERNAL26MAY212.5PE,27-MAY-2026,OPTSTK,PE,212.5,0.05,
BFO,873277,2425,ZOMAOPT,ETERNAL26MAY210PE,27-MAY-2026,OPTSTK,PE,210,0.05,
BFO,880378,2425,ZOMAOPT,ETERNAL26MAY205PE,27-MAY-2026,OPTSTK,PE,205,0.05,
BFO,881606,2425,ZOMAOPT,ETERNAL26MAY200PE,27-MAY-2026,OPTSTK,PE,200,0.05,
BFO,881438,2425,ZOMAOPT,ETERNAL26MAY195PE,27-MAY-2026,OPTSTK,PE,195,0.05,
BFO,883384,2425,ZOMAOPT,ETERNAL26MAY190PE,27-MAY-2026,OPTSTK,PE,190,0.05,
BFO,884741,2425,ZOMAOPT,ETERNAL26MAY185PE,27-MAY-2026,OPTSTK,PE,185,0.05,
BFO,886268,2425,ZOMAOPT,ETERNAL26MAY180PE,27-MAY-2026,OPTSTK,PE,180,0.05,
BFO,871601,2425,ZOMAOPT,ETERNAL26MAY280CE,27-MAY-2026,OPTSTK,CE,280,0.05,
BFO,1130840,2425,ZOMAOPT,ETERNAL26MAY277.5CE,27-MAY-2026,OPTSTK,CE,277.5,0.05,
BFO,873616,2425,ZOMAOPT,ETERNAL26MAY275CE,27-MAY-2026,OPTSTK,CE,275,0.05,
BFO,1130214,2425,ZOMAOPT,ETERNAL26MAY272.5CE,27-MAY-2026,OPTSTK,CE,272.5,0.05,
BFO,873412,2425,ZOMAOPT,ETERNAL26MAY270CE,27-MAY-2026,OPTSTK,CE,270,0.05,
BFO,1128403,2425,ZOMAOPT,ETERNAL26MAY267.5CE,27-MAY-2026,OPTSTK,CE,267.5,0.05,
BFO,875366,2425,ZOMAOPT,ETERNAL26MAY265CE,27-MAY-2026,OPTSTK,CE,265,0.05,
BFO,1127412,2425,ZOMAOPT,ETERNAL26MAY262.5CE,27-MAY-2026,OPTSTK,CE,262.5,0.05,
BFO,875164,2425,ZOMAOPT,ETERNAL26MAY260CE,27-MAY-2026,OPTSTK,CE,260,0.05,
BFO,1125239,2425,ZOMAOPT,ETERNAL26MAY257.5CE,27-MAY-2026,OPTSTK,CE,257.5,0.05,
BFO,869506,2425,ZOMAOPT,ETERNAL26MAY255CE,27-MAY-2026,OPTSTK,CE,255,0.05,
BFO,1122155,2425,ZOMAOPT,ETERNAL26MAY252.5CE,27-MAY-2026,OPTSTK,CE,252.5,0.05,
BFO,869306,2425,ZOMAOPT,ETERNAL26MAY250CE,27-MAY-2026,OPTSTK,CE,250,0.05,
BFO,1117006,2425,ZOMAOPT,ETERNAL26MAY247.5CE,27-MAY-2026,OPTSTK,CE,247.5,0.05,
BFO,871300,2425,ZOMAOPT,ETERNAL26MAY245CE,27-MAY-2026,OPTSTK,CE,245,0.05,
BFO,1116881,2425,ZOMAOPT,ETERNAL26MAY242.5CE,27-MAY-2026,OPTSTK,CE,242.5,0.05,
BFO,871104,2425,ZOMAOPT,ETERNAL26MAY240CE,27-MAY-2026,OPTSTK,CE,240,0.05,
BFO,1118615,2425,ZOMAOPT,ETERNAL26MAY237.5CE,27-MAY-2026,OPTSTK,CE,237.5,0.05,
BFO,873110,2425,ZOMAOPT,ETERNAL26MAY235CE,27-MAY-2026,OPTSTK,CE,235,0.05,
BFO,1118499,2425,ZOMAOPT,ETERNAL26MAY232.5CE,27-MAY-2026,OPTSTK,CE,232.5,0.05,
BFO,872894,2425,ZOMAOPT,ETERNAL26MAY230CE,27-MAY-2026,OPTSTK,CE,230,0.05,
BFO,1119457,2425,ZOMAOPT,ETERNAL26MAY227.5CE,27-MAY-2026,OPTSTK,CE,227.5,0.05,
BFO,874879,2425,ZOMAOPT,ETERNAL26MAY225CE,27-MAY-2026,OPTSTK,CE,225,0.05,
BFO,1119335,2425,ZOMAOPT,ETERNAL26MAY222.5CE,27-MAY-2026,OPTSTK,CE,222.5,0.05,
BFO,874680,2425,ZOMAOPT,ETERNAL26MAY220CE,27-MAY-2026,OPTSTK,CE,220,0.05,
BFO,1120457,2425,ZOMAOPT,ETERNAL26MAY217.5CE,27-MAY-2026,OPTSTK,CE,217.5,0.05,
BFO,868993,2425,ZOMAOPT,ETERNAL26MAY215CE,27-MAY-2026,OPTSTK,CE,215,0.05,
BFO,1120333,2425,ZOMAOPT,ETERNAL26MAY212.5CE,27-MAY-2026,OPTSTK,CE,212.5,0.05,
BFO,868771,2425,ZOMAOPT,ETERNAL26MAY210CE,27-MAY-2026,OPTSTK,CE,210,0.05,
BFO,879384,2425,ZOMAOPT,ETERNAL26MAY205CE,27-MAY-2026,OPTSTK,CE,205,0.05,
BFO,881332,2425,ZOMAOPT,ETERNAL26MAY200CE,27-MAY-2026,OPTSTK,CE,200,0.05,
BFO,881427,2425,ZOMAOPT,ETERNAL26MAY195CE,27-MAY-2026,OPTSTK,CE,195,0.05,
BFO,883379,2425,ZOMAOPT,ETERNAL26MAY190CE,27-MAY-2026,OPTSTK,CE,190,0.05,
BFO,884713,2425,ZOMAOPT,ETERNAL26MAY185CE,27-MAY-2026,OPTSTK,CE,185,0.05,
BFO,886217,2425,ZOMAOPT,ETERNAL26MAY180CE,27-MAY-2026,OPTSTK,CE,180,0.05,
BFO,1131898,2425,ZOMAOPT,ETERNAL26JUN280PE,25-JUN-2026,OPTSTK,PE,280,0.05,
BFO,1131146,2425,ZOMAOPT,ETERNAL26JUN277.5PE,25-JUN-2026,OPTSTK,PE,277.5,0.05,
BFO,1103546,2425,ZOMAOPT,ETERNAL26JUN275PE,25-JUN-2026,OPTSTK,PE,275,0.05,
BFO,1130452,2425,ZOMAOPT,ETERNAL26JUN272.5PE,25-JUN-2026,OPTSTK,PE,272.5,0.05,
BFO,1103125,2425,ZOMAOPT,ETERNAL26JUN270PE,25-JUN-2026,OPTSTK,PE,270,0.05,
BFO,1127901,2425,ZOMAOPT,ETERNAL26JUN267.5PE,25-JUN-2026,OPTSTK,PE,267.5,0.05,
BFO,1106617,2425,ZOMAOPT,ETERNAL26JUN265PE,25-JUN-2026,OPTSTK,PE,265,0.05,
BFO,1126849,2425,ZOMAOPT,ETERNAL26JUN262.5PE,25-JUN-2026,OPTSTK,PE,262.5,0.05,
BFO,1106276,2425,ZOMAOPT,ETERNAL26JUN260PE,25-JUN-2026,OPTSTK,PE,260,0.05,
BFO,1125107,2425,ZOMAOPT,ETERNAL26JUN257.5PE,25-JUN-2026,OPTSTK,PE,257.5,0.05,
BFO,1102222,2425,ZOMAOPT,ETERNAL26JUN255PE,25-JUN-2026,OPTSTK,PE,255,0.05,
BFO,1122110,2425,ZOMAOPT,ETERNAL26JUN252.5PE,25-JUN-2026,OPTSTK,PE,252.5,0.05,
BFO,1113182,2425,ZOMAOPT,ETERNAL26JUN250PE,25-JUN-2026,OPTSTK,PE,250,0.05,
BFO,1121271,2425,ZOMAOPT,ETERNAL26JUN247.5PE,25-JUN-2026,OPTSTK,PE,247.5,0.05,
BFO,1105328,2425,ZOMAOPT,ETERNAL26JUN245PE,25-JUN-2026,OPTSTK,PE,245,0.05,
BFO,1121168,2425,ZOMAOPT,ETERNAL26JUN242.5PE,25-JUN-2026,OPTSTK,PE,242.5,0.05,
BFO,1104813,2425,ZOMAOPT,ETERNAL26JUN240PE,25-JUN-2026,OPTSTK,PE,240,0.05,
BFO,1118178,2425,ZOMAOPT,ETERNAL26JUN237.5PE,25-JUN-2026,OPTSTK,PE,237.5,0.05,
BFO,1108270,2425,ZOMAOPT,ETERNAL26JUN235PE,25-JUN-2026,OPTSTK,PE,235,0.05,
BFO,1117969,2425,ZOMAOPT,ETERNAL26JUN232.5PE,25-JUN-2026,OPTSTK,PE,232.5,0.05,
BFO,1108070,2425,ZOMAOPT,ETERNAL26JUN230PE,25-JUN-2026,OPTSTK,PE,230,0.05,
BFO,1119120,2425,ZOMAOPT,ETERNAL26JUN227.5PE,25-JUN-2026,OPTSTK,PE,227.5,0.05,
BFO,1109871,2425,ZOMAOPT,ETERNAL26JUN225PE,25-JUN-2026,OPTSTK,PE,225,0.05,
BFO,1119016,2425,ZOMAOPT,ETERNAL26JUN222.5PE,25-JUN-2026,OPTSTK,PE,222.5,0.05,
BFO,1109672,2425,ZOMAOPT,ETERNAL26JUN220PE,25-JUN-2026,OPTSTK,PE,220,0.05,
BFO,1120119,2425,ZOMAOPT,ETERNAL26JUN217.5PE,25-JUN-2026,OPTSTK,PE,217.5,0.05,
BFO,1112735,2425,ZOMAOPT,ETERNAL26JUN215PE,25-JUN-2026,OPTSTK,PE,215,0.05,
BFO,1120016,2425,ZOMAOPT,ETERNAL26JUN212.5PE,25-JUN-2026,OPTSTK,PE,212.5,0.05,
